,0
Init Fwd Win Byts,1.4774023060723163
Dst Port,1.4638576928258296
Flow Duration,1.41615979943335
Flow IAT Max,1.3988641356282059
Flow Pkts/s,1.3817537218044202
Flow IAT Mean,1.371130853707387
Fwd Pkts/s,1.3691529132275784
Fwd Header Len,1.2634540835777648
Bwd Pkts/s,1.237116847802374
Fwd IAT Tot,1.170082551391817
Bwd Header Len,1.1650196645841506
Fwd IAT Max,1.1472935093315253
Fwd Seg Size Min,1.1169605280810986
Fwd IAT Mean,1.114531896747697
Init Bwd Win Byts,1.0314826594477333
Fwd IAT Min,1.0308709652142878
Flow IAT Min,0.9923526471617663
Tot Fwd Pkts,0.8398561996672771
Subflow Fwd Pkts,0.8378673299841202
Subflow Bwd Pkts,0.8200245760325124
Tot Bwd Pkts,0.8188279599678245
Pkt Len Var,0.7580537089000017
Pkt Len Std,0.7567483940683175
Pkt Len Max,0.7533916761319159
Bwd Pkt Len Mean,0.7503487759975536
Bwd Seg Size Avg,0.748800674428681
TotLen Bwd Pkts,0.7425634574625346
Pkt Len Mean,0.7418645196008753
Subflow Bwd Byts,0.7409295387869257
Bwd Pkt Len Max,0.7392284856670654
Fwd Seg Size Avg,0.733845977805371
Fwd Pkt Len Mean,0.733737075214631
TotLen Fwd Pkts,0.7214831614728499
Subflow Fwd Byts,0.721163941102966
Pkt Size Avg,0.7206686020170285
Fwd Pkt Len Max,0.7200712355354737
Fwd Pkt Len Std,0.6394806940133542
Bwd Pkt Len Std,0.6334061519806449
Flow Byts/s,0.6145620950312924
Bwd IAT Tot,0.5577501280953707
